.bx0,level,dz
0,0,50
0,1,50
1,0,17.6
2,0,36.5
3,0,8.5
3,1,70
3,2,50
4,0,20.5
5,0,56
5,1,50
6,0,59
6,1,50
7,0,33.8
8,0,2
8,1,50
9,0,35.3
9,1,50
10,0,25.3
10,1,50
11,0,65.6
11,1,70
11,2,50
12,0,59.8
12,1,50
13,0,48.9
14,0,18.8
14,1,70
14,2,50
15,0,51.8
15,1,50
16,0,36
16,1,70
16,2,50
17,0,31.9
17,1,50
18,0,36.4
18,1,50
19,0,79.1
19,1,70
19,2,50
20,0,110.2
20,1,70
20,2,50
21,0,66.3
21,1,70
21,2,50
22,0,69.6
22,1,50
23,0,0
24,0,0
25,0,50
25,1,50
26,0,30
26,1,70
26,2,50
27,0,200
27,1,180
27,2,70
27,3,50
28,0,200
28,1,180
28,2,70
28,3,50
29,0,200
29,1,180
29,2,70
29,3,50
