"Run.ID","Run.Group","Code","Type","Unit","Value"
1,"gfgloucester","gfgloucester","sweptarea","scalar",100
2,"gfnewbedford","gfnewbedford","sweptarea","scalar",100
3,"gfpointjudith","gfpointjudith","sweptarea","scalar",100
4,"gfboston","gfboston","sweptarea","scalar",100
5,"gfmontauk","gfmontauk","sweptarea","scalar",100
6,"gfportland","gfportland","sweptarea","scalar",100
7,"gfportsmouth","gfportsmouth","sweptarea","scalar",100
8,"gfchatham","gfchatham","sweptarea","scalar",100
9,"gfother","gfother","sweptarea","scalar",100
10,"gfgloucester","gfgloucester","sweptarea","scalar",150
11,"gfnewbedford","gfnewbedford","sweptarea","scalar",150
12,"gfpointjudith","gfpointjudith","sweptarea","scalar",150
13,"gfboston","gfboston","sweptarea","scalar",150
14,"gfmontauk","gfmontauk","sweptarea","scalar",150
15,"gfportland","gfportland","sweptarea","scalar",150
16,"gfportsmouth","gfportsmouth","sweptarea","scalar",150
17,"gfchatham","gfchatham","sweptarea","scalar",150
18,"gfother","gfother","sweptarea","scalar",150
19,"gfgloucester","gfgloucester","sweptarea","scalar",300
20,"gfnewbedford","gfnewbedford","sweptarea","scalar",300
21,"gfpointjudith","gfpointjudith","sweptarea","scalar",300
22,"gfboston","gfboston","sweptarea","scalar",300
23,"gfmontauk","gfmontauk","sweptarea","scalar",300
24,"gfportland","gfportland","sweptarea","scalar",300
25,"gfportsmouth","gfportsmouth","sweptarea","scalar",300
26,"gfchatham","gfchatham","sweptarea","scalar",300
27,"gfother","gfother","sweptarea","scalar",300
28,"gfgloucester","gfgloucester","sweptarea","scalar",500
29,"gfnewbedford","gfnewbedford","sweptarea","scalar",500
30,"gfpointjudith","gfpointjudith","sweptarea","scalar",500
31,"gfboston","gfboston","sweptarea","scalar",500
32,"gfmontauk","gfmontauk","sweptarea","scalar",500
33,"gfportland","gfportland","sweptarea","scalar",500
34,"gfportsmouth","gfportsmouth","sweptarea","scalar",500
35,"gfchatham","gfchatham","sweptarea","scalar",500
36,"gfother","gfother","sweptarea","scalar",500
37,"gfgloucester","gfgloucester","sweptarea","scalar",750
38,"gfnewbedford","gfnewbedford","sweptarea","scalar",750
39,"gfpointjudith","gfpointjudith","sweptarea","scalar",750
40,"gfboston","gfboston","sweptarea","scalar",750
41,"gfmontauk","gfmontauk","sweptarea","scalar",750
42,"gfportland","gfportland","sweptarea","scalar",750
43,"gfportsmouth","gfportsmouth","sweptarea","scalar",750
44,"gfchatham","gfchatham","sweptarea","scalar",750
45,"gfother","gfother","sweptarea","scalar",750
46,"gfgloucester","gfgloucester","sweptarea","scalar",1000
47,"gfnewbedford","gfnewbedford","sweptarea","scalar",1000
48,"gfpointjudith","gfpointjudith","sweptarea","scalar",1000
49,"gfboston","gfboston","sweptarea","scalar",1000
50,"gfmontauk","gfmontauk","sweptarea","scalar",1000
51,"gfportland","gfportland","sweptarea","scalar",1000
52,"gfportsmouth","gfportsmouth","sweptarea","scalar",1000
53,"gfchatham","gfchatham","sweptarea","scalar",1000
54,"gfother","gfother","sweptarea","scalar",1000
55,"gfgloucester_b","COD:gfgloucester","q","value",0.5
56,"gfgloucester_b","HAD:gfgloucester","q","value",0.5
57,"gfgloucester_b","HAL:gfgloucester","q","value",0.5
58,"gfgloucester_b","OPT:gfgloucester","q","value",0.5
59,"gfgloucester_b","PLA:gfgloucester","q","value",0.5
60,"gfgloucester_b","POL:gfgloucester","q","value",0.5
61,"gfgloucester_b","RED:gfgloucester","q","value",0.5
62,"gfgloucester_b","WHK:gfgloucester","q","value",0.5
63,"gfgloucester_b","WIF:gfgloucester","q","value",0.5
64,"gfgloucester_b","WOL:gfgloucester","q","value",0.5
65,"gfgloucester_b","WPF:gfgloucester","q","value",0.5
66,"gfgloucester_b","WTF:gfgloucester","q","value",0.5
67,"gfgloucester_b","YTF:gfgloucester","q","value",0.5
68,"gfnewbedford_b","COD:gfnewbedford","q","value",0.5
69,"gfnewbedford_b","HAD:gfnewbedford","q","value",0.5
70,"gfnewbedford_b","HAL:gfnewbedford","q","value",0.5
71,"gfnewbedford_b","OPT:gfnewbedford","q","value",0.5
72,"gfnewbedford_b","PLA:gfnewbedford","q","value",0.5
73,"gfnewbedford_b","POL:gfnewbedford","q","value",0.5
74,"gfnewbedford_b","RED:gfnewbedford","q","value",0.5
75,"gfnewbedford_b","WHK:gfnewbedford","q","value",0.5
76,"gfnewbedford_b","WIF:gfnewbedford","q","value",0.5
77,"gfnewbedford_b","WOL:gfnewbedford","q","value",0.5
78,"gfnewbedford_b","WPF:gfnewbedford","q","value",0.5
79,"gfnewbedford_b","WTF:gfnewbedford","q","value",0.5
80,"gfnewbedford_b","YTF:gfnewbedford","q","value",0.5
81,"gfpointjudith_b","COD:gfpointjudith","q","value",0.5
82,"gfpointjudith_b","HAD:gfpointjudith","q","value",0.5
83,"gfpointjudith_b","HAL:gfpointjudith","q","value",0.5
84,"gfpointjudith_b","OPT:gfpointjudith","q","value",0.5
85,"gfpointjudith_b","PLA:gfpointjudith","q","value",0.5
86,"gfpointjudith_b","POL:gfpointjudith","q","value",0.5
87,"gfpointjudith_b","RED:gfpointjudith","q","value",0.5
88,"gfpointjudith_b","WHK:gfpointjudith","q","value",0.5
89,"gfpointjudith_b","WIF:gfpointjudith","q","value",0.5
90,"gfpointjudith_b","WOL:gfpointjudith","q","value",0.5
91,"gfpointjudith_b","WPF:gfpointjudith","q","value",0.5
92,"gfpointjudith_b","WTF:gfpointjudith","q","value",0.5
93,"gfpointjudith_b","YTF:gfpointjudith","q","value",0.5
94,"gfboston_b","COD:gfboston","q","value",0.5
95,"gfboston_b","HAD:gfboston","q","value",0.5
96,"gfboston_b","HAL:gfboston","q","value",0.5
97,"gfboston_b","OPT:gfboston","q","value",0.5
98,"gfboston_b","PLA:gfboston","q","value",0.5
99,"gfboston_b","POL:gfboston","q","value",0.5
100,"gfboston_b","RED:gfboston","q","value",0.5
101,"gfboston_b","WHK:gfboston","q","value",0.5
102,"gfboston_b","WIF:gfboston","q","value",0.5
103,"gfboston_b","WOL:gfboston","q","value",0.5
104,"gfboston_b","WPF:gfboston","q","value",0.5
105,"gfboston_b","WTF:gfboston","q","value",0.5
106,"gfboston_b","YTF:gfboston","q","value",0.5
107,"gfmontauk_b","COD:gfmontauk","q","value",0.5
108,"gfmontauk_b","HAD:gfmontauk","q","value",0.5
109,"gfmontauk_b","HAL:gfmontauk","q","value",0.5
110,"gfmontauk_b","OPT:gfmontauk","q","value",0.5
111,"gfmontauk_b","PLA:gfmontauk","q","value",0.5
112,"gfmontauk_b","POL:gfmontauk","q","value",0.5
113,"gfmontauk_b","RED:gfmontauk","q","value",0.5
114,"gfmontauk_b","WHK:gfmontauk","q","value",0.5
115,"gfmontauk_b","WIF:gfmontauk","q","value",0.5
116,"gfmontauk_b","WOL:gfmontauk","q","value",0.5
117,"gfmontauk_b","WPF:gfmontauk","q","value",0.5
118,"gfmontauk_b","WTF:gfmontauk","q","value",0.5
119,"gfmontauk_b","YTF:gfmontauk","q","value",0.5
120,"gfportland_b","COD:gfportland","q","value",0.5
121,"gfportland_b","HAD:gfportland","q","value",0.5
122,"gfportland_b","HAL:gfportland","q","value",0.5
123,"gfportland_b","OPT:gfportland","q","value",0.5
124,"gfportland_b","PLA:gfportland","q","value",0.5
125,"gfportland_b","POL:gfportland","q","value",0.5
126,"gfportland_b","RED:gfportland","q","value",0.5
127,"gfportland_b","WHK:gfportland","q","value",0.5
128,"gfportland_b","WIF:gfportland","q","value",0.5
129,"gfportland_b","WOL:gfportland","q","value",0.5
130,"gfportland_b","WPF:gfportland","q","value",0.5
131,"gfportland_b","WTF:gfportland","q","value",0.5
132,"gfportland_b","YTF:gfportland","q","value",0.5
133,"gfportsmouth_b","COD:gfportsmouth","q","value",0.5
134,"gfportsmouth_b","HAD:gfportsmouth","q","value",0.5
135,"gfportsmouth_b","HAL:gfportsmouth","q","value",0.5
136,"gfportsmouth_b","OPT:gfportsmouth","q","value",0.5
137,"gfportsmouth_b","PLA:gfportsmouth","q","value",0.5
138,"gfportsmouth_b","POL:gfportsmouth","q","value",0.5
139,"gfportsmouth_b","RED:gfportsmouth","q","value",0.5
140,"gfportsmouth_b","WHK:gfportsmouth","q","value",0.5
141,"gfportsmouth_b","WIF:gfportsmouth","q","value",0.5
142,"gfportsmouth_b","WOL:gfportsmouth","q","value",0.5
143,"gfportsmouth_b","WPF:gfportsmouth","q","value",0.5
144,"gfportsmouth_b","WTF:gfportsmouth","q","value",0.5
145,"gfportsmouth_b","YTF:gfportsmouth","q","value",0.5
146,"gfchatham_b","COD:gfchatham","q","value",0.5
147,"gfchatham_b","HAD:gfchatham","q","value",0.5
148,"gfchatham_b","HAL:gfchatham","q","value",0.5
149,"gfchatham_b","OPT:gfchatham","q","value",0.5
150,"gfchatham_b","PLA:gfchatham","q","value",0.5
151,"gfchatham_b","POL:gfchatham","q","value",0.5
152,"gfchatham_b","RED:gfchatham","q","value",0.5
153,"gfchatham_b","WHK:gfchatham","q","value",0.5
154,"gfchatham_b","WIF:gfchatham","q","value",0.5
155,"gfchatham_b","WOL:gfchatham","q","value",0.5
156,"gfchatham_b","WPF:gfchatham","q","value",0.5
157,"gfchatham_b","WTF:gfchatham","q","value",0.5
158,"gfchatham_b","YTF:gfchatham","q","value",0.5
159,"gfother_b","COD:gfother","q","value",0.5
160,"gfother_b","HAD:gfother","q","value",0.5
161,"gfother_b","HAL:gfother","q","value",0.5
162,"gfother_b","OPT:gfother","q","value",0.5
163,"gfother_b","PLA:gfother","q","value",0.5
164,"gfother_b","POL:gfother","q","value",0.5
165,"gfother_b","RED:gfother","q","value",0.5
166,"gfother_b","WHK:gfother","q","value",0.5
167,"gfother_b","WIF:gfother","q","value",0.5
168,"gfother_b","WOL:gfother","q","value",0.5
169,"gfother_b","WPF:gfother","q","value",0.5
170,"gfother_b","WTF:gfother","q","value",0.5
171,"gfother_b","YTF:gfother","q","value",0.5
172,"gfgloucester_b","COD:gfgloucester","q","value",0.75
173,"gfgloucester_b","HAD:gfgloucester","q","value",0.75
174,"gfgloucester_b","HAL:gfgloucester","q","value",0.75
175,"gfgloucester_b","OPT:gfgloucester","q","value",0.75
176,"gfgloucester_b","PLA:gfgloucester","q","value",0.75
177,"gfgloucester_b","POL:gfgloucester","q","value",0.75
178,"gfgloucester_b","RED:gfgloucester","q","value",0.75
179,"gfgloucester_b","WHK:gfgloucester","q","value",0.75
180,"gfgloucester_b","WIF:gfgloucester","q","value",0.75
181,"gfgloucester_b","WOL:gfgloucester","q","value",0.75
182,"gfgloucester_b","WPF:gfgloucester","q","value",0.75
183,"gfgloucester_b","WTF:gfgloucester","q","value",0.75
184,"gfgloucester_b","YTF:gfgloucester","q","value",0.75
185,"gfnewbedford_b","COD:gfnewbedford","q","value",0.75
186,"gfnewbedford_b","HAD:gfnewbedford","q","value",0.75
187,"gfnewbedford_b","HAL:gfnewbedford","q","value",0.75
188,"gfnewbedford_b","OPT:gfnewbedford","q","value",0.75
189,"gfnewbedford_b","PLA:gfnewbedford","q","value",0.75
190,"gfnewbedford_b","POL:gfnewbedford","q","value",0.75
191,"gfnewbedford_b","RED:gfnewbedford","q","value",0.75
192,"gfnewbedford_b","WHK:gfnewbedford","q","value",0.75
193,"gfnewbedford_b","WIF:gfnewbedford","q","value",0.75
194,"gfnewbedford_b","WOL:gfnewbedford","q","value",0.75
195,"gfnewbedford_b","WPF:gfnewbedford","q","value",0.75
196,"gfnewbedford_b","WTF:gfnewbedford","q","value",0.75
197,"gfnewbedford_b","YTF:gfnewbedford","q","value",0.75
198,"gfpointjudith_b","COD:gfpointjudith","q","value",0.75
199,"gfpointjudith_b","HAD:gfpointjudith","q","value",0.75
200,"gfpointjudith_b","HAL:gfpointjudith","q","value",0.75
201,"gfpointjudith_b","OPT:gfpointjudith","q","value",0.75
202,"gfpointjudith_b","PLA:gfpointjudith","q","value",0.75
203,"gfpointjudith_b","POL:gfpointjudith","q","value",0.75
204,"gfpointjudith_b","RED:gfpointjudith","q","value",0.75
205,"gfpointjudith_b","WHK:gfpointjudith","q","value",0.75
