Run.ID,Run.Group,Code,Type,Unit,Value
1,BLF,BLF,mum,scalar,1.5
2,BLF,BLF,mum,scalar,3
3,BLF,BLF,mum,scalar,4.5
4,BLF,BLF,mum,scalar,6
5,COD,COD,mQa,scalar,2
6,COD,COD,mQa,scalar,4
7,COD,COD,mQa,scalar,6
8,COD,COD,mQa,scalar,8
9,COD,COD,mQa,scalar,10
10,COD,COD,mum,scalar,0.5
11,COD,COD,mum,scalar,0.25
12,COD,COD,mum,scalar,0.1
13,MAK,1SHK2:MAK,diet,scalar,0.5
14,MAK,1SHK2:MAK,diet,scalar,0.25
15,MAK,1SHK2:MAK,diet,scalar,0.1
16,MAK,2SHK1:MAK,diet,scalar,0.5
17,MAK,2SHK1:MAK,diet,scalar,0.25
18,MAK,2SHK1:MAK,diet,scalar,0.1
19,MAK,1SHK1:MAK,diet,scalar,0.5
20,MAK,1SHK1:MAK,diet,scalar,0.25
21,MAK,1SHK1:MAK,diet,scalar,0.1
22,MAK,2SHK2:MAK,diet,scalar,0.5
23,MAK,2SHK2:MAK,diet,scalar,0.25
24,MAK,2SHK2:MAK,diet,scalar,0.1
25,MAK,1WHK1:MAK,diet,scalar,0.5
26,MAK,1WHK1:MAK,diet,scalar,0.25
27,MAK,1WHK1:MAK,diet,scalar,0.1
28,MAK,1WHK2:MAK,diet,scalar,0.5
29,MAK,1WHK2:MAK,diet,scalar,0.25
30,MAK,1WHK2:MAK,diet,scalar,0.1
31,MAK,2WHK1:MAK,diet,scalar,0.5
32,MAK,2WHK1:MAK,diet,scalar,0.25
33,MAK,2WHK1:MAK,diet,scalar,0.1
34,MAK,2WHK2:MAK,diet,scalar,0.5
35,MAK,2WHK2:MAK,diet,scalar,0.25
36,MAK,2WHK2:MAK,diet,scalar,0.1
37,MAK,MAK,mum,scalar,2
38,MAK,MAK,mum,scalar,5
39,MAK,MAK,mum,scalar,10
40,TAU,TAU,mum,scalar,1.1
41,TAU,TAU,mum,scalar,1.2
42,TAU,TAU,mum,scalar,1.3
43,TAU,TAU,mum,scalar,1.4
44,WHK,WHK,BHalpha,scalar,0.75
45,WHK,WHK,BHalpha,scalar,0.5
46,WHK,WHK,BHalpha,scalar,0.25
47,WHK,WHK,BHalpha,scalar,0.1
48,WTF,WTF,mum,scalar,1.1
49,WTF,WTF,mum,scalar,1.2
50,WTF,WTF,mum,scalar,1.3
51,WTF,WTF,mum,scalar,1.4
52,HER,HER,mum,scalar,0.75
53,HER,HER,mum,scalar,0.5
54,HER,HER,mum,scalar,0.25
55,BUT,BUT,mum,scalar,0.75
56,BUT,BUT,mum,scalar,0.5
57,BUT,BUT,mum,scalar,0.25
58,BUT,BUT,BHalpha,scalar,0.8
59,BUT,BUT,BHalpha,scalar,0.6
60,BUT,BUT,BHalpha,scalar,0.4
61,BUT,BUT,BHalpha,scalar,0.2
62,FDF,FDF,mum,scalar,1.25
63,FDF,FDF,mum,scalar,1.5
64,FDF,FDF,mum,scalar,1.75
65,FDF,FDF,mum,scalar,2
66,GOO,GOO,mum,scalar,0.8
67,GOO,GOO,mum,scalar,0.6
68,GOO,GOO,mum,scalar,0.4
69,GOO,GOO,mum,scalar,0.2
70,BPF,BPF,mum,scalar,1.25
71,BPF,BPF,mum,scalar,1.5
72,BPF,BPF,mum,scalar,1.75
73,BPF,BPF,mum,scalar,2
74,BPF,BPF,BHalpha,scalar,1.25
75,BPF,BPF,BHalpha,scalar,1.5
76,BPF,BPF,BHalpha,scalar,1.75
77,BPF,BPF,BHalpha,scalar,2
78,PSH,PSH,mum,scalar,0.8
79,PSH,PSH,mum,scalar,0.6
80,PSH,PSH,mum,scalar,0.4
81,PSH,PSH,mum,scalar,0.2
82,PSH,PSH,mQa,scalar,1.5
83,PSH,PSH,mQa,scalar,3
84,PSH,PSH,mQa,scalar,4.5
85,PSH,PSH,mQa,scalar,6
86,POL,POL,mum,scalar,0.8
87,POL,POL,mum,scalar,0.6
88,POL,POL,mum,scalar,0.4
89,POL,POL,mum,scalar,0.2
90,POR,POR,mum,scalar,0.8
91,POR,POR,mum,scalar,0.6
92,POR,POR,mum,scalar,0.4
93,POR,POR,mum,scalar,0.2
94,POR,POR,mum,scalar,1.5
95,POR,POR,mum,scalar,3
96,POR,POR,mum,scalar,4.5
97,POR,POR,mum,scalar,6
98,RWH,RWH,KDENR,scalar,1.2
99,RWH,RWH,KDENR,scalar,1.5
100,RWH,RWH,KDENR,scalar,1.75
101,RWH,RWH,mum,scalar,1.5
102,RWH,RWH,mum,scalar,3
103,RWH,RWH,mum,scalar,4.5
104,TYL,TYL,mum,scalar,2
105,TYL,TYL,mum,scalar,4
106,TYL,TYL,mum,scalar,6
107,TYL,TYL,mum,scalar,8
108,WOL,WOL,mum,scalar,0.75
109,WOL,WOL,mum,scalar,0.5
110,WOL,WOL,mum,scalar,0.25
111,WOL,WOL,C,scalar,0.75
112,WOL,WOL,C,scalar,0.5
113,WOL,WOL,C,scalar,0.25
