"Run.ID","Run.Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"BLF","BLF","mum","scalar",7,"at_biology_1.prm","RunAtlantis_1.sh"
2,"BLF","BLF","mum","scalar",9,"at_biology_2.prm","RunAtlantis_2.sh"
3,"BLF","BLF","mum","scalar",12,"at_biology_3.prm","RunAtlantis_3.sh"
4,"BLF","BLF","mum","scalar",15,"at_biology_4.prm","RunAtlantis_4.sh"
5,"COD","COD","mum","scalar",0.9,"at_biology_5.prm","RunAtlantis_5.sh"
6,"COD","COD","mum","scalar",0.8,"at_biology_6.prm","RunAtlantis_6.sh"
7,"COD","COD","mum","scalar",0.7,"at_biology_7.prm","RunAtlantis_7.sh"
8,"COD","COD","mum","scalar",0.6,"at_biology_8.prm","RunAtlantis_8.sh"
9,"FDF","FDF","mum","scalar",3,"at_biology_9.prm","RunAtlantis_9.sh"
10,"FDF","FDF","mum","scalar",5,"at_biology_10.prm","RunAtlantis_10.sh"
11,"FDF","FDF","mum","scalar",7,"at_biology_11.prm","RunAtlantis_11.sh"
12,"FDF","FDF","mum","scalar",10,"at_biology_12.prm","RunAtlantis_12.sh"
13,"HER","HER","mum","scalar",1.05,"at_biology_13.prm","RunAtlantis_13.sh"
14,"HER","HER","mum","scalar",1.1,"at_biology_14.prm","RunAtlantis_14.sh"
15,"HER","HER","mum","scalar",1.15,"at_biology_15.prm","RunAtlantis_15.sh"
16,"HER","HER","mum","scalar",1.2,"at_biology_16.prm","RunAtlantis_16.sh"
17,"LOB","LOB","mum","scalar",1,"at_biology_17.prm","RunAtlantis_17.sh"
18,"LOB","LOB","mum","scalar",1.5,"at_biology_18.prm","RunAtlantis_18.sh"
19,"LOB","LOB","mum","scalar",3,"at_biology_19.prm","RunAtlantis_19.sh"
20,"LOB","LOB","mum","scalar",5,"at_biology_20.prm","RunAtlantis_20.sh"
21,"LOB","LOB","mum","scalar",10,"at_biology_21.prm","RunAtlantis_21.sh"
22,"LOB","LOB","C","scalar",1,"at_biology_22.prm","RunAtlantis_22.sh"
23,"LOB","LOB","C","scalar",1.5,"at_biology_23.prm","RunAtlantis_23.sh"
24,"LOB","LOB","C","scalar",3,"at_biology_24.prm","RunAtlantis_24.sh"
25,"LOB","LOB","C","scalar",5,"at_biology_25.prm","RunAtlantis_25.sh"
26,"LOB","LOB","C","scalar",10,"at_biology_26.prm","RunAtlantis_26.sh"
27,"MAK","MAK","mum","scalar",2,"at_biology_27.prm","RunAtlantis_27.sh"
28,"MAK","MAK","mum","scalar",5,"at_biology_28.prm","RunAtlantis_28.sh"
29,"MAK","MAK","mum","scalar",10,"at_biology_29.prm","RunAtlantis_29.sh"
30,"MAK","MAK","mum","scalar",20,"at_biology_30.prm","RunAtlantis_30.sh"
31,"MAK","MAK","C","scalar",2,"at_biology_31.prm","RunAtlantis_31.sh"
32,"MAK","MAK","C","scalar",5,"at_biology_32.prm","RunAtlantis_32.sh"
33,"MAK","MAK","C","scalar",10,"at_biology_33.prm","RunAtlantis_33.sh"
34,"MAK","MAK","C","scalar",20,"at_biology_34.prm","RunAtlantis_34.sh"
35,"MAK","MAK","BHalpha","scalar",2,"at_biology_35.prm","RunAtlantis_35.sh"
36,"MAK","MAK","BHalpha","scalar",5,"at_biology_36.prm","RunAtlantis_36.sh"
37,"MAK","MAK","BHalpha","scalar",10,"at_biology_37.prm","RunAtlantis_37.sh"
38,"MAK","MAK","BHalpha","scalar",20,"at_biology_38.prm","RunAtlantis_38.sh"
39,"MEN","MEN","mum","scalar",0.75,"at_biology_39.prm","RunAtlantis_39.sh"
40,"MEN","MEN","mum","scalar",0.5,"at_biology_40.prm","RunAtlantis_40.sh"
41,"MEN","MEN","mum","scalar",0.25,"at_biology_41.prm","RunAtlantis_41.sh"
42,"MEN","MEN","mum","scalar",0.1,"at_biology_42.prm","RunAtlantis_42.sh"
43,"MEN","MEN","C","scalar",0.75,"at_biology_43.prm","RunAtlantis_43.sh"
44,"MEN","MEN","C","scalar",0.5,"at_biology_44.prm","RunAtlantis_44.sh"
45,"MEN","MEN","C","scalar",0.25,"at_biology_45.prm","RunAtlantis_45.sh"
46,"MEN","MEN","C","scalar",0.1,"at_biology_46.prm","RunAtlantis_46.sh"
47,"MEN","MEN","BHalpha","scalar",0.75,"at_biology_47.prm","RunAtlantis_47.sh"
48,"MEN","MEN","BHalpha","scalar",0.5,"at_biology_48.prm","RunAtlantis_48.sh"
49,"MEN","MEN","BHalpha","scalar",0.25,"at_biology_49.prm","RunAtlantis_49.sh"
50,"MEN","MEN","BHalpha","scalar",0.1,"at_biology_50.prm","RunAtlantis_50.sh"
51,"RWH","RWH","C","scalar",10,"at_biology_51.prm","RunAtlantis_51.sh"
52,"RWH","RWH","C","scalar",20,"at_biology_52.prm","RunAtlantis_52.sh"
53,"RWH","RWH","C","scalar",50,"at_biology_53.prm","RunAtlantis_53.sh"
54,"RWH","RWH","C","scalar",100,"at_biology_54.prm","RunAtlantis_54.sh"
55,"RWH","RWH","C","scalar",1000,"at_biology_55.prm","RunAtlantis_55.sh"
56,"RWH","RWH","KDENR","scalar",10,"at_biology_56.prm","RunAtlantis_56.sh"
57,"RWH","RWH","KDENR","scalar",15,"at_biology_57.prm","RunAtlantis_57.sh"
58,"RWH","RWH","KDENR","scalar",20,"at_biology_58.prm","RunAtlantis_58.sh"
59,"RWH","RWH","KDENR","scalar",25,"at_biology_59.prm","RunAtlantis_59.sh"
60,"SCA","SCA","mum","scalar",1,"at_biology_60.prm","RunAtlantis_60.sh"
61,"SCA","SCA","mum","scalar",1.5,"at_biology_61.prm","RunAtlantis_61.sh"
62,"SCA","SCA","mum","scalar",3,"at_biology_62.prm","RunAtlantis_62.sh"
63,"SCA","SCA","mum","scalar",5,"at_biology_63.prm","RunAtlantis_63.sh"
64,"SCA","SCA","mum","scalar",10,"at_biology_64.prm","RunAtlantis_64.sh"
65,"SCA","SCA","C","scalar",1,"at_biology_65.prm","RunAtlantis_65.sh"
66,"SCA","SCA","C","scalar",1.5,"at_biology_66.prm","RunAtlantis_66.sh"
67,"SCA","SCA","C","scalar",3,"at_biology_67.prm","RunAtlantis_67.sh"
68,"SCA","SCA","C","scalar",5,"at_biology_68.prm","RunAtlantis_68.sh"
69,"SCA","SCA","C","scalar",10,"at_biology_69.prm","RunAtlantis_69.sh"
70,"SCA","SCA","mQ","scalar",0.5,"at_biology_70.prm","RunAtlantis_70.sh"
71,"SCA","SCA","mQ","scalar",0.25,"at_biology_71.prm","RunAtlantis_71.sh"
72,"SCA","SCA","mQ","scalar",0.1,"at_biology_72.prm","RunAtlantis_72.sh"
