Run.ID,Run.Group,Code,Type,Unit,Value
1,HAD,HAD,mum,scalar,0.9
2,HAD,HAD,mum,scalar,0.8
3,HAD,HAD,mum,scalar,0.7
4,HAD,HAD,mum,scalar,0.6
5,HAD,HAD,mum,scalar,0.5
6,HAD,HAD,C,scalar,0.9
7,HAD,HAD,C,scalar,0.8
8,HAD,HAD,C,scalar,0.7
9,HAD,HAD,C,scalar,0.6
10,HAD,HAD,C,scalar,0.5
11,RED,RED,mum,scalar,1.1
12,RED,RED,mum,scalar,1.25
13,RED,RED,mum,scalar,1.5
14,RED,RED,mum,scalar,2
15,RED,RED,mum,scalar,5.00E+00
16,RED,RED,C,scalar,1.1
17,RED,RED,C,scalar,1.25
18,RED,RED,C,scalar,1.5
19,RED,RED,C,scalar,2
20,RED,RED,C,scalar,5.00E+00
21,RED,RED,BHalpha,scalar,1.50E+00
22,RED,RED,BHalpha,scalar,3.00E+00
23,RED,RED,BHalpha,scalar,5.00E+00
24,RED,RED,BHalpha,scalar,1.00E+01
25,OPT,OPT,mum,scalar,1.1
26,OPT,OPT,mum,scalar,1.25
27,OPT,OPT,mum,scalar,1.5
28,OPT,OPT,mum,scalar,2
29,OPT,OPT,mum,scalar,5.00E+00
30,OPT,OPT,C,scalar,1.1
31,OPT,OPT,C,scalar,1.25
32,OPT,OPT,C,scalar,1.5
33,OPT,OPT,C,scalar,2
34,OPT,OPT,C,scalar,5.00E+00
35,OPT,OPT,BHalpha,scalar,1.50E+00
36,OPT,OPT,BHalpha,scalar,3.00E+00
37,OPT,OPT,BHalpha,scalar,5.00E+00
38,OPT,OPT,BHalpha,scalar,1.00E+01
39,OPT,OPT,mQa,value,0.00E+00
40,WHK,WHK,mum,scalar,1.1
41,WHK,WHK,mum,scalar,1.25
42,WHK,WHK,mum,scalar,1.5
43,WHK,WHK,mum,scalar,2
44,WHK,WHK,mum,scalar,5.00E+00
45,WHK,WHK,C,scalar,1.1
46,WHK,WHK,C,scalar,1.25
47,WHK,WHK,C,scalar,1.5
48,WHK,WHK,C,scalar,2
49,WHK,WHK,C,scalar,5.00E+00
50,WHK,WHK,mQa,value,0.00E+00
51,WOL,WOL,mum,scalar,1.1
52,WOL,WOL,mum,scalar,1.25
53,WOL,WOL,mum,scalar,1.5
54,WOL,WOL,mum,scalar,2
55,WOL,WOL,mum,scalar,5.00E+00
56,WOL,WOL,C,scalar,1.1
57,WOL,WOL,C,scalar,1.25
58,WOL,WOL,C,scalar,1.5
59,WOL,WOL,C,scalar,2
60,WOL,WOL,C,scalar,5.00E+00
61,WOL,WOL,BHalpha,scalar,1.50E+00
62,WOL,WOL,BHalpha,scalar,3.00E+00
63,WOL,WOL,BHalpha,scalar,5.00E+00
64,WOL,WOL,BHalpha,scalar,1.00E+01
65,WTF,WTF,mum,scalar,1.1
66,WTF,WTF,mum,scalar,1.25
67,WTF,WTF,mum,scalar,1.5
68,WTF,WTF,mum,scalar,2
69,WTF,WTF,mum,scalar,5.00E+00
70,WTF,WTF,C,scalar,1.1
71,WTF,WTF,C,scalar,1.25
72,WTF,WTF,C,scalar,1.5
73,WTF,WTF,C,scalar,2
74,WTF,WTF,C,scalar,5.00E+00
75,WTF,WTF,BHalpha,scalar,1.50E+00
76,WTF,WTF,BHalpha,scalar,3.00E+00
77,WTF,WTF,BHalpha,scalar,5.00E+00
78,WTF,WTF,BHalpha,scalar,1.00E+01
79,WTF,WTF,mQa,value,0.00E+00
