Run.ID,Run.Group,Code,Type,Unit,Value
1,COD,COD,mQa,scalar,2
,COD,COD,mQa,scalar,5
,COD,COD,mQa,scalar,10
,COD,COD,mQa,scalar,20
,COD,COD,mQa,scalar,50
,COD,COD,mQa,scalar,100
,COD,COD,mum,scalar,0.75
,COD,COD,mum,scalar,0.5
,COD,COD,mum,scalar,0.25
,COD,COD,mum,scalar,0.1
,COD,COD,mum,scalar,0.05
,HER,HER,mum,scalar,1.1
,HER,HER,mum,scalar,1.25
,HER,HER,mum,scalar,1.5
,HER,HER,mum,scalar,2
,HER,HER,mum,scalar,5
,HER,HER,mum,scalar,10
,HER,HER,mum,scalar,20
,HER,HER,BHalpha,scalar,1.5
,HER,HER,BHalpha,scalar,2
,HER,HER,BHalpha,scalar,5
,HER,HER,BHalpha,scalar,10
,HER,HER,BHalpha,scalar,20
,HER,HER,BHalpha,scalar,50
,GOO,GOO,mum,scalar,0.75
,GOO,GOO,mum,scalar,0.5
,GOO,GOO,mum,scalar,0.25
,GOO,GOO,mum,scalar,0.1
,GOO,GOO,mum,scalar,0.05
,GOO,GOO,mum,scalar,0.01
,GOO,GOO,BHalpha,scalar,0.75
,GOO,GOO,BHalpha,scalar,0.5
,GOO,GOO,BHalpha,scalar,0.25
,GOO,GOO,BHalpha,scalar,0.1
,GOO,GOO,BHalpha,scalar,0.05
,GOO,GOO,BHalpha,scalar,0.01
,LOB,LOB,mum,scalar,1.05
,LOB,LOB,mum,scalar,1.1
,LOB,LOB,mum,scalar,1.25
,LOB,LOB,mum,scalar,1.5
,LOB,LOB,mum,scalar,2
,LOB,LOB,C,scalar,1.1
,LOB,LOB,C,scalar,1.25
,LOB,LOB,C,scalar,1.5
,LOB,LOB,C,scalar,2
,ZM,ZM,mQ,scalar,0.75
,ZM,ZM,mQ,scalar,0.5
,ZM,ZM,mQ,scalar,0.25
,ZM,ZM,mQ,scalar,0.1
,ZM,ZM,mQ,scalar,0.05
,ZM,ZM,mum,scalar,1.05
,ZM,ZM,mum,scalar,1.1
,ZM,ZM,mum,scalar,1.2
,ZM,ZM,mum,scalar,1.5
,ZM,ZM,mum,scalar,2
,ZM,ZM,C,scalar,1.05
,ZM,ZM,C,scalar,1.1
,ZM,ZM,C,scalar,1.2
,ZM,ZM,C,scalar,1.5
,ZM,ZM,C,scalar,2
,ZL,ZL,mQ,scalar,0.9
,ZL,ZL,mQ,scalar,0.8
,ZL,ZL,mQ,scalar,0.7
,ZL,ZL,mQ,scalar,0.6
,ZL,ZL,mQ,scalar,0.5
,ZL,ZL,mum,scalar,1.05
,ZL,ZL,mum,scalar,1.1
,ZL,ZL,mum,scalar,1.2
,ZL,ZL,mum,scalar,1.5
,ZL,ZL,mum,scalar,2
,ZL,ZL,C,scalar,1.05
,ZL,ZL,C,scalar,1.1
,ZL,ZL,C,scalar,1.2
,ZL,ZL,C,scalar,1.5
,ZL,ZL,C,scalar,2
,PIN,PIN,FSPB,scalar,0.9
,PIN,PIN,FSPB,scalar,0.8
,PIN,PIN,FSPB,scalar,0.7
,PIN,PIN,FSPB,scalar,0.6
,PIN,PIN,FSPB,scalar,0.5
,PIN,PIN,FSPB,scalar,0.4
,PIN,PIN,FSPB,scalar,0.3
,PIN,PIN,FSPB,scalar,0.2
,PIN,PIN,FSPB,scalar,0.1
,SCA,SCA,mQ,scalar,1.05
,SCA,SCA,mQ,scalar,1.1
,SCA,SCA,mQ,scalar,1.2
,SCA,SCA,mQ,scalar,1.5
,SCA,SCA,mQ,scalar,2
,SCA,SCA,mum,scalar,0.9
,SCA,SCA,mum,scalar,0.8
,SCA,SCA,mum,scalar,0.7
,SCA,SCA,mum,scalar,0.6
,SCA,SCA,C,scalar,0.9
,SCA,SCA,C,scalar,0.8
,SCA,SCA,C,scalar,0.7
,SCA,SCA,C,scalar,0.6
,DOG,DOG,mum,scalar,0.75
,DOG,DOG,mum,scalar,0.5
,DOG,DOG,mum,scalar,0.25
,DOG,DOG,mum,scalar,0.1
,DOG,DOG,C,scalar,0.75
,DOG,DOG,C,scalar,0.5
,DOG,DOG,C,scalar,0.25
,DOG,DOG,C,scalar,0.1
,SUF,SUF,mum,scalar,0.75
,SUF,SUF,mum,scalar,0.5
,SUF,SUF,mum,scalar,0.25
,SUF,SUF,mum,scalar,0.1
,SUF,SUF,C,scalar,0.75
,SUF,SUF,C,scalar,0.5
,SUF,SUF,C,scalar,0.25
,SUF,SUF,C,scalar,0.1
