Code,Location
MAK,Surface
HER,Surface
WHK,Bottom
BLF,Surface
WPF,Bottom
SUF,Bottom
WIF,Bottom
WTF,Bottom
HAL,Bottom
PLA,Bottom
FOU,Bottom
FLA,Bottom
BFT,Surface
TUN,Surface
BIL,Surface
MPF,Bottom
BUT,Surface
ANC,Surface
BPF,Bottom
GOO,Bottom
MEN,Surface
FDE,Surface
COD,Bottom
SHK,Bottom
OHK,Bottom
POL,Bottom
RHK,Bottom
BSB,Bottom
SCU,Bottom
TYL,Bottom
RED,Bottom
OPT,Bottom
SAL,Bottom
DRM,Bottom
STB,Bottom
TAU,Bottom
WOL,Bottom
SDF,Bottom
FDF,Bottom
HAD,Bottom
YTF,Bottom
DOG,Bottom
SMO,Bottom
SSH,Bottom
DSH,Bottom
BLS,Surface
POR,Surface
PSH,Surface
WSK,Bottom
LSK,Bottom
SK,Bottom
SB,Surface
PIN,Surface
REP,Surface
RWH,Surface
BWH,Surface
SWH,Surface
TWH,Surface
INV,Bottom
LSQ,Surface
ISQ,Surface
NSH,Bottom
OSH,Bottom
ZL,Surface
ZG,Surface
ZM,Surface
ZS,Surface
SCA,Bottom
QHG,Bottom
CLA,Bottom
BFF,Bottom
BG,Bottom
LOB,Bottom
RCB,Bottom
BMS,Bottom
BD,Bottom
MA,Bottom
MB,Bottom
SG,Bottom
BC,Bottom
PL,Bottom
DF,Bottom
PS,Bottom
PB,Bottom
BB,Bottom
BO,Bottom
