Code,Stock,Year,Price,Ref_Year,Source
COD,EGOM,2019,3.92,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,EGOM,2020,3.35,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,EGOM,2021,3.43,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,EGOM,2022,3.26,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,EGOM,2023,3.39,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,GB,2019,2.97,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,GB,2020,2.65,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,GB,2021,2.33,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,GB,2022,1.94,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,GB,2023,2.05,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,SNE,2019,3.41,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,SNE,2020,2.89,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,SNE,2021,2.74,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,SNE,2022,3.86,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,SNE,2023,2.41,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,WGOM,2019,3.44,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,WGOM,2020,3.1,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,WGOM,2021,2.64,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,WGOM,2022,2.55,2023,Northeast Multispecies FMP Framework Adjustment 69
COD,WGOM,2023,2.29,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GB,2019,1.24,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GB,2020,1.27,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GB,2021,1.61,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GB,2022,1.82,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GB,2023,1.39,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GOM,2019,1.44,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GOM,2020,1.44,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GOM,2021,1.81,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GOM,2022,1.68,2023,Northeast Multispecies FMP Framework Adjustment 69
HAD,GOM,2023,1.45,2023,Northeast Multispecies FMP Framework Adjustment 69
HAL,Unit,2019,7.6,2023,Northeast Multispecies FMP Framework Adjustment 69
HAL,Unit,2020,7,2023,Northeast Multispecies FMP Framework Adjustment 69
HAL,Unit,2021,8.03,2023,Northeast Multispecies FMP Framework Adjustment 69
HAL,Unit,2022,7.63,2023,Northeast Multispecies FMP Framework Adjustment 69
HAL,Unit,2023,6.89,2023,Northeast Multispecies FMP Framework Adjustment 69
WHK,Unit,2019,1.47,2023,Northeast Multispecies FMP Framework Adjustment 69
WHK,Unit,2020,1.68,2023,Northeast Multispecies FMP Framework Adjustment 69
WHK,Unit,2021,1.98,2023,Northeast Multispecies FMP Framework Adjustment 69
WHK,Unit,2022,1.82,2023,Northeast Multispecies FMP Framework Adjustment 69
WHK,Unit,2023,1.68,2023,Northeast Multispecies FMP Framework Adjustment 69
PLA,Unit,2019,2.07,2023,Northeast Multispecies FMP Framework Adjustment 69
PLA,Unit,2020,1.95,2023,Northeast Multispecies FMP Framework Adjustment 69
PLA,Unit,2021,1.95,2023,Northeast Multispecies FMP Framework Adjustment 69
PLA,Unit,2022,1.48,2023,Northeast Multispecies FMP Framework Adjustment 69
PLA,Unit,2023,1.5,2023,Northeast Multispecies FMP Framework Adjustment 69
POL,Unit,2019,1.11,2023,Northeast Multispecies FMP Framework Adjustment 69
POL,Unit,2020,1.3,2023,Northeast Multispecies FMP Framework Adjustment 69
POL,Unit,2021,1.65,2023,Northeast Multispecies FMP Framework Adjustment 69
POL,Unit,2022,1.27,2023,Northeast Multispecies FMP Framework Adjustment 69
POL,Unit,2023,1.38,2023,Northeast Multispecies FMP Framework Adjustment 69
RED,Unit,2019,0.63,2023,Northeast Multispecies FMP Framework Adjustment 69
RED,Unit,2020,0.62,2023,Northeast Multispecies FMP Framework Adjustment 69
RED,Unit,2021,0.65,2023,Northeast Multispecies FMP Framework Adjustment 69
RED,Unit,2022,0.72,2023,Northeast Multispecies FMP Framework Adjustment 69
RED,Unit,2023,0.68,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GB,2019,3.45,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GB,2020,2.38,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GB,2021,3.1,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GB,2022,2.38,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GB,2023,2.13,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GOM,2019,2.74,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GOM,2020,2.5,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GOM,2021,2.63,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GOM,2022,1.71,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,GOM,2023,1.74,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,SNEMA,2019,3.14,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,SNEMA,2020,2.32,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,SNEMA,2021,2.96,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,SNEMA,2022,1.98,2023,Northeast Multispecies FMP Framework Adjustment 69
WIF,SNEMA,2023,1.9,2023,Northeast Multispecies FMP Framework Adjustment 69
WTF,Unit,2019,2.09,2023,Northeast Multispecies FMP Framework Adjustment 69
WTF,Unit,2020,1.85,2023,Northeast Multispecies FMP Framework Adjustment 69
WTF,Unit,2021,1.8,2023,Northeast Multispecies FMP Framework Adjustment 69
WTF,Unit,2022,1.6,2023,Northeast Multispecies FMP Framework Adjustment 69
WTF,Unit,2023,1.35,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,GB,2019,2.28,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,GB,2020,1.56,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,GB,2021,1.57,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,GB,2022,1.65,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,GB,2023,0.84,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,CCGOM,2019,1.34,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,CCGOM,2020,1.04,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,CCGOM,2021,0.96,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,CCGOM,2022,0.79,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,CCGOM,2023,0.77,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,SNEMA,2019,2.1,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,SNEMA,2020,1.05,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,SNEMA,2021,1.82,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,SNEMA,2022,1.25,2023,Northeast Multispecies FMP Framework Adjustment 69
YTF,SNEMA,2023,1.18,2023,Northeast Multispecies FMP Framework Adjustment 69
SCA,Unit,2009,9.2,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2010,11.38,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2011,13.59,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2012,13.11,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2013,15.21,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2014,16.57,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2015,16.09,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2016,15.27,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2017,12.26,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2018,11.37,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2019,11.24,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2020,12.36,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2021,17.41,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2022,14.77,2023,Scallop FMP Framwork Adjustment 39
SCA,Unit,2023,12.76,2023,Scallop FMP Framwork Adjustment 39
