LongName,data.type,metric
Acadian redfish,StockSMART,
American plaice,StockSMART,
Atlantic bluefin tuna,other,
Atlantic cod,StockSMART,
Atlantic halibut,StockSMART,
Atlantic herring,StockSMART,
Atlantic mackerel,StockSMART,
Atlantic menhaden,ASFMC,
Atlantic salmon,other,
Atlantic surf clam,StockSMART,
Baleen whales,other,
Billfish,other,
Black sea bass,StockSMART,
Blue shark,other,
Bluefish,StockSMART,
Butterfish,StockSMART,
Drums and croakers,survey,
Fourspot flounder,survey,
Goosefish,StockSMART,
Haddock,StockSMART,
Illex squid,survey,
Little skate,survey,
Lobster,ASFMC,
Loligo squid,StockSMART,
Marine turtles,survey,
Northeast skate complex,survey,
Northern shrimp other pandalids,survey,
Ocean pout,survey,
Ocean quahog,StockSMART,
Offshore hake,survey,
Other tunas,other,
Pinnipeds,other,
Pollock,StockSMART,
Porbeagle shark,other,
Red hake,survey,
Right whales,other,
Sandbar shark,survey,
Scup,other,
Sea scallop,StockSMART,
Silver hake,survey,
Small toothed whales,other,
Smooth dogfish,survey,
Spiny dogfish,StockSMART,
Striped bass,ASFMC,
Summer flounder,StockSMART,
Tautog,survey,
Tilefishes,StockSMART,
Toothed whales,other,
White hake,StockSMART,
Windowpane flounder,survey,
Winter flounder,StockSMART,
Winter skate,survey,
Witch flounder,survey,
Wolffish,survey,
Yellowtail flounder,StockSMART,
