Year 1 2 3 4 5 6+
1955 1035.7 1352.2 620.3 964.4 194.0 77.3
1956 1620.0 829.4 630.7 262.9 431.3 115.5
1957 2452.6 1099.2 351.9 233.1 96.8 212.5
1958 1285.5 1845.4 533.4 143.0 91.5 127.6
1959 4563.0 787.9 991.2 284.9 66.2 101.6
1960 1223.0 3440.5 385.7 465.0 142.9 74.2
1961 675.1 744.8 2100.7 209.7 240.5 121.8
1962 801.6 492.5 362.0 1090.3 105.6 155.1
1963 1010.7 494.9 217.8 153.0 499.4 117.4
1964 728.2 594.4 207.0 93.2 69.0 289.2
1965 1131.3 418.8 259.0 87.3 42.6 173.6
1966 907.1 712.7 180.1 107.7 37.1 84.9
1967 1434.3 604.4 374.5 84.8 51.2 48.9
1968 532.8 1004.4 359.6 200.4 42.2 50.0
1969 803.1 323.4 529.4 201.1 104.7 45.9
1970 1128.5 478.7 179.3 269.8 115.1 87.0
1971 512.2 748.9 236.3 91.0 128.4 109.1
1972 799.8 381.3 373.7 114.8 47.0 103.0
1973 544.4 475.4 122.9 118.1 47.0 71.4
1974 722.5 494.9 170.1 33.8 42.0 49.3
1975 1015.1 527.9 192.6 61.5 11.9 42.6
1976 1285.3 674.9 240.5 69.3 28.8 18.7
1977 875.7 923.3 320.9 95.2 26.2 21.4
1978 956.3 647.5 462.4 154.0 45.4 18.0
1979 820.3 722.9 339.6 214.8 80.5 32.5
1980 922.0 525.5 378.9 163.6 106.8 58.5
1981 687.6 578.9 218.5 162.1 78.5 72.2
1982 1116.7 490.6 234.2 83.5 77.0 76.1
1983 425.6 743.7 197.9 95.4 39.5 80.6
1984 871.3 332.7 305.5 77.7 47.0 47.9
1985 1246.8 556.1 138.3 119.7 35.0 45.9
1986 1009.9 886.9 249.3 50.2 47.4 33.7
1987 690.5 730.5 485.7 127.0 25.9 44.2
1988 562.7 494.4 387.6 224.5 65.1 34.4
1989 1345.4 438.0 227.8 172.7 105.1 48.5
1990 1118.7 1070.3 207.9 87.4 77.9 66.7
1991 1594.9 804.5 526.7 85.1 36.7 70.2
1992 2319.3 1154.3 361.7 221.6 39.7 44.4
1993 1182.1 1479.9 623.3 151.2 103.4 42.8
1994 1474.9 919.8 790.4 309.5 70.9 75.2
1996 616.4 1294.7 554.5 301.1 200.0 121.0
1997 516.1 717.3 784.5 272.0 172.4 180.0
1998 638.7 496.8 436.7 389.4 138.4 209.6
1999 1985.3 557.6 287.0 213.5 193.2 155.2
2000 1167.8 1267.5 323.5 157.4 111.7 181.3
2001 694.5 1115.8 698.9 168.5 86.2 149.4
2002 1457.9 714.9 633.2 344.5 87.2 115.2
2003 1193.3 934.1 379.2 312.3 179.1 95.0
2004 998.5 881.2 427.7 172.9 158.4 147.8
2005 554.9 688.6 470.8 177.5 77.5 158.9
2006 1386.7 559.5 358.2 227.2 77.5 85.9
2007 1552.5 1142.7 335.9 167.0 104.6 64.7
2008 1058.1 1122.3 572.5 168.7 81.2 98.0
2009 1601.5 722.7 570.2 252.7 84.9 89.4
2010 1500.8 921.0 346.1 254.3 113.9 87.7
2011 2980.2 980.7 466.1 144.3 110.6 80.1
2012 2014.3 1837.9 470.1 225.9 62.2 91.6
2013 1256.4 1001.2 898.1 206.9 116.0 71.2
2014 1327.8 769.1 468.9 403.5 96.7 113.3
2015 1390.8 816.8 345.2 200.9 183.6 85.9
2016 2782.5 867.3 401.6 133.4 90.5 129.2
2017 2351.7 1562.7 415.5 176.7 56.9 113.5
