Code,min_bottom_temp,max_bottom_temp
BSB,2.3,30.4
CLA,1.2,27.4
COD,-1,24.8
DOG,0.6,22.9
DRM,0.2,39.8
GOO,0.9,25.4
HAD,1.6,20.1
HAL,2,14.1
LSK,-1.4,24.3
OHK,3.2,17.6
OPT,0.1,20.2
PLA,1.3,21.9
POL,1.6,21.3
QHG,3,20.7
RED,1.5,24.8
RHK,0.1,25.0
SCA,1.4,22.6
SCU,3.35,28.5
SDF,0.5,36.4
SHK,1,24.5
SK,1.7,28.8
SUF,1.74,38.1
TAU,-0.5,30.6
TYL,7.95,18.0
WHK,1.3,25.3
WIF,-1.4,28.2
WOL,1.5,14.8
WPF,-1.2,38.1
WSK,-1.4,23.6
WTF,1.5,26.1
YTF,-1,19.6
BLF,5.4,34.0
BUT,0.6,34.4
FDE,-0.09,34.7
HER,-0.75,29.7
ISQ,0.6,29.8
LSQ,0.6,30.0
MAK,1.21,27.4
MEN,0.4,35.5
NSH,1.67,26.3
SAL,3.7,8.4
STB,-0.4,34.4
