code,year,box,proportion
FDP,2013,0,0.002572601
FDP,2013,1,1.38E-05
FDP,2013,2,0.003017901
FDP,2013,3,0.004324268
FDP,2013,4,9.94E-04
FDP,2013,5,0.003177145
FDP,2013,6,0
FDP,2013,7,9.48E-04
FDP,2013,8,0.010558625
FDP,2013,9,0.028263903
FDP,2013,10,0.008848591
FDP,2013,11,0.008537949
FDP,2013,12,0
FDP,2013,13,0.005480538
FDP,2013,14,0.012575176
FDP,2013,15,0.056712489
FDP,2013,16,0.021753822
FDP,2013,17,0.017482308
FDP,2013,18,0
FDP,2013,19,0.005467737
FDP,2013,20,0.023022331
FDP,2013,21,0.070572496
FDP,2013,22,0.074892765
FDP,2013,23,0.024327033
FDP,2013,24,0
FDP,2013,25,0.014656721
FDP,2013,26,0.0089415
FDP,2013,27,0.043768874
FDP,2013,28,0.051038442
FDP,2013,29,0.038953277
FDP,2013,30,0
FDP,2013,31,0
FDP,2013,32,0
FDP,2013,33,0.01029003
FDP,2013,34,0.022675566
FDP,2013,35,0.025804186
FDP,2013,36,0
FDP,2013,37,0.001799637
FDP,2013,38,0.011952142
FDP,2013,39,0.023753317
FDP,2013,40,0.023149627
FDP,2013,41,0.028760584
FDP,2013,42,0
FDP,2013,43,0
FDP,2013,44,3.58E-04
FDP,2013,45,0
FDP,2013,46,0.032172902
FDP,2013,47,0.053048386
FDP,2013,48,0
FDP,2013,49,0
FDP,2013,50,2.03E-04
FDP,2013,51,0.006361444
FDP,2013,52,0.0132832
FDP,2013,53,0.005786892
FDP,2013,54,0.001462753
FDP,2013,55,9.11E-04
FDP,2013,56,0
FDP,2013,57,0
FDP,2013,58,0.045336411
FDP,2013,59,0.077939469
FDP,2013,60,0.041403237
FDP,2013,61,0
FDP,2013,62,2.93E-04
FDP,2013,63,2.75E-04
FDP,2013,64,0.003778695
FDP,2013,65,0.006194454
FDP,2013,66,0.012072927
FDP,2013,67,0
FDP,2013,68,1.87E-05
FDP,2013,69,2.25E-04
FDP,2013,70,8.21E-04
FDP,2013,71,0.001867892
FDP,2013,72,0.006175257
FDP,2013,73,0
FDP,2013,74,2.72E-05
FDP,2013,75,8.99E-04
FDP,2013,76,0
FDP,2013,77,0
FDP,2013,78,0
FDP,2013,79,0
FDP,2013,80,0
FDP,2013,81,0
FDP,2013,82,0
FDP,2013,83,0
FDP,2013,84,0
FDP,2013,85,0
FDP,2013,86,0
FDP,2013,87,0
FDP,2013,88,0
FDP,2099,0,0.001982086
FDP,2099,1,3.40E-08
FDP,2099,2,0.002024802
FDP,2099,3,0.006417703
FDP,2099,4,0.001951799
FDP,2099,5,0.005523629
FDP,2099,6,0
FDP,2099,7,6.64E-06
FDP,2099,8,9.03E-04
FDP,2099,9,0.008936104
FDP,2099,10,0.010412375
FDP,2099,11,0.015161334
FDP,2099,12,0
FDP,2099,13,3.31E-05
FDP,2099,14,9.37E-04
FDP,2099,15,0.024416478
FDP,2099,16,0.0184606
FDP,2099,17,0.031628231
FDP,2099,18,0
FDP,2099,19,1.47E-04
FDP,2099,20,7.73E-04
FDP,2099,21,0.022667168
FDP,2099,22,0.089613529
FDP,2099,23,0.040950956
FDP,2099,24,0
FDP,2099,25,0.010285199
FDP,2099,26,0.001051674
FDP,2099,27,0.037307899
FDP,2099,28,0.078005523
FDP,2099,29,0.058901839
FDP,2099,30,0
FDP,2099,31,0
FDP,2099,32,0
FDP,2099,33,0.006233677
FDP,2099,34,0.024567552
FDP,2099,35,0.034230691
FDP,2099,36,0
FDP,2099,37,3.88E-05
FDP,2099,38,0.002829889
FDP,2099,39,0.025890702
FDP,2099,40,0.025741595
FDP,2099,41,0.042250323
FDP,2099,42,0
FDP,2099,43,0
FDP,2099,44,1.36E-05
FDP,2099,45,0
FDP,2099,46,0.026527097
FDP,2099,47,0.076820158
FDP,2099,48,0
FDP,2099,49,0
FDP,2099,50,3.67E-06
FDP,2099,51,0.005079003
FDP,2099,52,0.004619369
FDP,2099,53,0.005317355
FDP,2099,54,1.61E-04
FDP,2099,55,9.34E-05
FDP,2099,56,0
FDP,2099,57,0
FDP,2099,58,0.064144628
FDP,2099,59,0.100942249
FDP,2099,60,0.052016967
FDP,2099,61,0
FDP,2099,62,3.52E-05
FDP,2099,63,2.84E-05
FDP,2099,64,0.003710555
FDP,2099,65,0.004757367
FDP,2099,66,0.016559104
FDP,2099,67,0
FDP,2099,68,3.96E-06
FDP,2099,69,3.59E-05
FDP,2099,70,1.17E-04
FDP,2099,71,1.91E-04
FDP,2099,72,0.008431332
FDP,2099,73,0
FDP,2099,74,9.63E-07
FDP,2099,75,1.09E-04
FDP,2099,76,0
FDP,2099,77,0
FDP,2099,78,0
FDP,2099,79,0
FDP,2099,80,0
FDP,2099,81,0
FDP,2099,82,0
FDP,2099,83,0
FDP,2099,84,0
FDP,2099,85,0
FDP,2099,86,0
FDP,2099,87,0
FDP,2099,88,0
