"Code","numbers","biomass.tot"
"BFT",NA,71312.5550705027
"BIL",NA,59365
"BLF",NA,127321.056054929
"BSB",NA,18826.0666401102
"BUT",NA,230726.655401225
"CLA",NA,1817045.45454545
"COD",NA,64267.6782438548
"DOG",NA,272080
"GOO",NA,52058.1052631579
"HAD",NA,78975.5378508361
"HAL",NA,53397.2790697674
"HER",NA,161724.908023634
"LOB",NA,26930.275862069
"LSQ",NA,80660.8501434326
"MAK",NA,218147.432164412
"MEN",NA,3439079.444351
"PLA",NA,148927.588397663
"POL",NA,71857.0177020328
"QHG",NA,3224265.55555556
"RED",NA,155283
"RHK",NA,145475.566666667
"SCA",NA,113039.4
"SCU",NA,133042.500138393
"STB",NA,427114.070828308
"SUF",NA,275737.768349957
"TUN",NA,448479.6265625
"TYL",NA,8557.65550616376
"WHK",NA,187657.08367177
"WIF",NA,264866.687882703
"WPF",NA,15646.8666666667
"WTF",NA,149283.621967605
"YTF",NA,83692.3414865646
