"Code","agecl","ref.nums"
"BFT",1,5504778
"BFT",2,15575
"BFT",3,2056
"BFT",4,612
"BFT",5,260
"BFT",6,132
"BFT",7,74
"BFT",8,44
"BFT",9,27
"BFT",10,17
"BIL",1,367577
"BIL",2,32663
"BIL",3,8518
"BIL",4,3430
"BIL",5,1705
"BIL",6,946
"BIL",7,558
"BIL",8,340
"BIL",9,211
"BIL",10,133
"BLF",1,627671458
"BLF",2,33076878
"BLF",3,5615630
"BLF",4,1594964
"BLF",5,599323
"BLF",6,266793
"BLF",7,132477
"BLF",8,70781
"BLF",9,39775
"BLF",10,23158
"BSB",1,48703957
"BSB",2,2079093
"BSB",3,472754
"BSB",4,188270
"BSB",5,95426
"BSB",6,54220
"BSB",7,32602
"BSB",8,20172
"BSB",9,12664
"BSB",10,8008
"BUT",1,3602294367
"BUT",2,329635594
"BUT",3,108218355
"BUT",4,53195948
"BUT",5,30483623
"BUT",6,18588523
"BUT",7,11632053
"BUT",8,7358337
"BUT",9,4676256
"BUT",10,2977534
"COD",1,603645086
"COD",2,876125
"COD",3,54904
"COD",4,10083
"COD",5,3012
"COD",6,1175
"COD",7,539
"COD",8,267
"COD",9,140
"COD",10,81
"DOG",1,12187524002
"DOG",2,1574146
"DOG",3,44239
"DOG",4,22205
"DOG",5,8082
"DOG",6,3762
"DOG",7,2000
"DOG",8,1146
"DOG",9,686
"DOG",10,421
"GOO",1,1764345263
"GOO",2,17438131
"GOO",3,1172630
"GOO",4,166838
"GOO",5,35458
"GOO",6,9673
"GOO",7,3127
"GOO",8,1142
"GOO",9,458
"GOO",10,197
"HAD",1,60873047
"HAD",2,7586971
"HAD",3,3185415
"HAD",4,1800470
"HAD",5,1107612
"HAD",6,698689
"HAD",7,444061
"HAD",8,282869
"HAD",9,180313
"HAD",10,115404
"HAL",1,20172665
"HAL",2,240912
"HAL",3,20491
"HAL",4,3716
"HAL",5,1002
"HAL",6,344
"HAL",7,138
"HAL",8,62
"HAL",9,30
"HAL",10,16
"HER",1,134164224972
"HER",2,285930877
"HER",3,12270662
"HER",4,2257975
"HER",5,670599
"HER",6,259430
"HER",7,117932
"HER",8,59494
"HER",9,32179
"HER",10,18257
"MAK",1,990646393
"MAK",2,181920141
"MAK",3,51905859
"MAK",4,19101087
"MAK",5,8258034
"MAK",6,3976387
"MAK",7,2063408
"MAK",8,1129379
"MAK",9,642508
"MAK",10,376049
"MEN",1,292063643376
"MEN",2,34683510505
"MEN",3,9356848440
"MEN",4,3503551100
"MEN",5,1560633507
"MEN",6,772326501
"MEN",7,409477088
"MEN",8,227651657
"MEN",9,130917591
"MEN",10,77171132
"PLA",1,12130431687
"PLA",2,14507468
"PLA",3,1171603
"PLA",4,278508
"PLA",5,104702
"PLA",6,49558
"PLA",7,26589
"PLA",8,15317
"PLA",9,9196
"PLA",10,5657
"POL",1,49818362
"POL",2,1889834
"POL",3,356067
"POL",4,121111
"POL",5,54529
"POL",6,28477
"POL",7,16156
"POL",8,9614
"POL",9,5884
"POL",10,3661
"RED",1,37387883390
"RED",2,101948240
"RED",3,15018647
"RED",4,4768617
"RED",5,2116783
"RED",6,1109694
"RED",7,635093
"RED",8,381260
"RED",9,235014
"RED",10,147023
"RHK",1,482880775
"RHK",2,20913974
"RHK",3,4371403
"RHK",4,1608722
"RHK",5,767620
"RHK",6,417944
"RHK",7,244161
"RHK",8,148249
"RHK",9,91965
"RHK",10,57737
"SCU",1,1098966398
"SCU",2,37947980
"SCU",3,6865386
"SCU",4,2286805
"SCU",5,1017720
"SCU",6,527955
"SCU",7,325453
"SCU",8,177151
"SCU",9,108259
"SCU",10,67301
"STB",1,142756237
"STB",2,25979881
"STB",3,8539848
"STB",4,3734100
"STB",5,1905019
"STB",6,1061701
"STB",7,623517
"STB",8,377949
"STB",9,233567
"STB",10,146069
"SUF",1,211573120
"SUF",2,10295895
"SUF",3,2385216
"SUF",4,949780
"SUF",5,479633
"SUF",6,271548
"SUF",7,162826
"SUF",8,100553
"SUF",9,62901
"SUF",10,39853
"TUN",1,8810201
"TUN",2,2407892
"TUN",3,1290716
"TUN",4,792277
"TUN",5,500925
"TUN",6,318802
"TUN",7,203192
"TUN",8,129549
"TUN",9,82602
"TUN",10,52669
"TYL",1,137268481
"TYL",2,168381
"TYL",3,10554
"TYL",4,2050
"TYL",5,654
"TYL",6,272
"TYL",7,132
"TYL",8,70
"TYL",9,40
"TYL",10,23
"WHK",1,6582982324
"WHK",2,99946301
"WHK",3,8011444
"WHK",4,1265461
"WHK",5,289247
"WHK",6,83377
"WHK",7,28165
"WHK",8,10673
"WHK",9,4410
"WHK",10,1950
"WIF",1,226960845
"WIF",2,20536172
"WIF",3,7015927
"WIF",4,3556572
"WIF",5,2076436
"WIF",6,1279184
"WIF",7,804686
"WIF",8,510364
"WIF",9,324739
"WIF",10,206890
"WPF",1,129957821
"WPF",2,6551436
"WPF",3,1490276
"WPF",4,578436
"WPF",5,285708
"WPF",6,159084
"WPF",7,94292
"WPF",8,57784
"WPF",9,36055
"WPF",10,22718
"WTF",1,2806993084
"WTF",2,63797589
"WTF",3,7804396
"WTF",4,1855164
"WTF",5,623365
"WTF",6,257198
"WTF",7,120991
"WTF",8,62135
"WTF",9,33900
"WTF",10,19301
"YTF",1,3074300342
"YTF",2,93465973
"YTF",3,13669519
"YTF",4,3694750
"YTF",5,1369380
"YTF",6,610149
"YTF",7,305093
"YTF",8,164505
"YTF",9,93316
"YTF",10,54805
