"agecl","box","measurement","Code"
1,"0",0,"BFT"
2,"0",0,"BFT"
3,"0",0,"BFT"
4,"0",0,"BFT"
5,"0",0,"BFT"
6,"0",0,"BFT"
7,"0",0,"BFT"
8,"0",0,"BFT"
9,"0",0,"BFT"
10,"0",0,"BFT"
1,"1",8463.46436214942,"BFT"
2,"1",3382.68503409284,"BFT"
3,"1",10259.6162162336,"BFT"
4,"1",7010.16198011665,"BFT"
5,"1",5008.55131451271,"BFT"
6,"1",3835.27808015186,"BFT"
7,"1",2397.89837202456,"BFT"
8,"1",1733.101137317,"BFT"
9,"1",1130.84263629282,"BFT"
10,"1",335.028930446684,"BFT"
1,"2",8463.46436214942,"BFT"
2,"2",3382.68503409284,"BFT"
3,"2",10259.6162162336,"BFT"
4,"2",7010.16198011665,"BFT"
5,"2",5008.55131451271,"BFT"
6,"2",3835.27808015186,"BFT"
7,"2",2397.89837202456,"BFT"
8,"2",1733.101137317,"BFT"
9,"2",1130.84263629282,"BFT"
10,"2",335.028930446684,"BFT"
1,"3",8463.46436214942,"BFT"
2,"3",3382.68503409284,"BFT"
3,"3",10259.6162162336,"BFT"
4,"3",7010.16198011665,"BFT"
5,"3",5008.55131451271,"BFT"
6,"3",3835.27808015186,"BFT"
7,"3",2397.89837202456,"BFT"
8,"3",1733.101137317,"BFT"
9,"3",1130.84263629282,"BFT"
10,"3",335.028930446684,"BFT"
1,"4",8463.46436214942,"BFT"
2,"4",3382.68503409284,"BFT"
3,"4",10259.6162162336,"BFT"
4,"4",7010.16198011665,"BFT"
5,"4",5008.55131451271,"BFT"
6,"4",3835.27808015186,"BFT"
7,"4",2397.89837202456,"BFT"
8,"4",1733.101137317,"BFT"
9,"4",1130.84263629282,"BFT"
10,"4",335.028930446684,"BFT"
1,"5",8463.46436214942,"BFT"
2,"5",3382.68503409284,"BFT"
3,"5",10259.6162162336,"BFT"
4,"5",7010.16198011665,"BFT"
5,"5",5008.55131451271,"BFT"
6,"5",3835.27808015186,"BFT"
