Code,Index,Name,LongName,NumCohorts,AtlantisGroup,FuncGroup,Guild
BFT,12,BluefinTuna,Atlantic bluefin tuna,10,FISH,Apex Predator,Apex_Predator
BIL,14,Billfish,Billfish,10,FISH,Apex Predator,Apex_Predator
TUN,13,Tunas,Other tunas,10,FISH,Apex Predator,Apex_Predator
BB,84,Sed_Bact,Sediment Bacteria,1,SED_BACT,Sediment Bacteria,Bacteria
PB,83,Pelag_Bact,Pelagic Bacteria,1,PL_BACT,Pelagic Bacteria,Bacteria
BSB,27,Black_Sea_Bass,Black sea bass,10,FISH,Benthivore,Benthivore
HAD,39,Haddock,Haddock,10,FISH,Benthivore,Benthivore
LOB,66,Lobster,Lobster,1,MOB_EP_OTHER,Benthivore,Benthos
OPT,31,Ocean_Pout,Ocean pout,10,FISH,Benthivore,Benthivore
PLA,10,Plaice,American plaice,10,FISH,Benthivore,Benthivore
RCB,67,Red_Crab,Red deep-sea crab,1,MOB_EP_OTHER,Benthivore,Benthos
SCU,28,Scup,Scup,10,FISH,Benthivore,Benthivore
SMO,42,Smooth_Dogfish,Smooth dogfish,10,SHARK,Benthivore,Benthivore
TAU,35,Tautog,Tautog,10,FISH,Benthivore,Benthivore
TYL,29,Tilefish,All tilefish,10,FISH,Benthivore,Benthivore
WIF,6,Winterflounder,Winter flounder,10,FISH,Benthivore,Benthivore
WTF,7,Witchflounder,Witch flounder,10,FISH,Benthivore,Benthivore
YTF,40,Yellowtail_Flounder,Yellowtail flounder,10,FISH,Benthivore,Benthivore
BC,76,Benthic_Carniv,Benthic Carnivore,1,MOB_EP_OTHER,Benthos,Benthos
BD,72,Deposit_Feeder,Deposit Feeder,1,LG_INF,Benthos,Benthos
BFF,64,Filter_Other,Other benthic filter feeder,1,SED_EP_FF,Benthos,Benthos
BG,65,Benthic_grazer,Benthic grazer,1,SED_EP_OTHER,Benthos,Benthos
BMS,68,Macrobenth_Shallow,Shallow macrozoobenthos,1,MOB_EP_OTHER,Benthos,Benthos
BO,85,Meiobenth,Meiobenthos,1,SM_INF,Benthos,Benthos
CLA,63,Surf_Clam,Atlantic surf clam,1,SED_EP_FF,Benthos,Benthos
QHG,62,Quahog,Ocean quahog,1,SED_EP_FF,Benthos,Benthos
SCA,61,Scallop,Sea scallop,1,SED_EP_FF,Benthos,Benthos
BWH,55,Baleen_Whale,Baleen whales,10,MAMMAL,Mammals,Mammals
PIN,52,Pinniped,Pinnipeds,10,MAMMAL,Mammals,Mammals
RWH,54,Right_Whale,Right whales,10,MAMMAL,Mammals,Mammals
SWH,56,Small_Whale,Small toothed whales,10,MAMMAL,Mammals,Mammals
TWH,57,Tooth_Whale,Toothed whales,10,MAMMAL,Mammals,Mammals
BLS,45,Blue_Shark,Blue shark,10,SHARK,Other,Apex_Predator
BPF,17,Benthopelagic_Fish,Other benthopelagic fish,10,FISH,Other,Planktivore
DC,88,Carrion,Carrion,1,CARRION,Other,Other
DL,86,Lab_Det,Labile detritus,1,LAB_DET,Other,Other
DR,87,Ref_Det,Refractory detritus,1,REF_DET,Other,Other
DRM,33,Drums_Croakers,Drums and croakers,10,FISH,Other,Benthivore
DSH,44,Demersal_Shark,Other demersal sharks,10,SHARK,Other,Benthivore
FDF,38,Misc_Demersal_Fish,Miscellaneous demersal fish,10,FISH,Other,Benthivore
FLA,11,Other_Flatfish,Other flatfish,10,FISH,Other,Benthivore
INV,58,Invasive_Species,Invasive vertebrate species,10,FISH,Other,Other
MA,73,Macroalgae,Macroalgae,1,PHYTOBEN,Other,Other
MB,74,MicroPB,Microphtybenthos,1,MICROPHTYBENTHOS,Other,Other
MPF,15,Mesopelagic_Mig_Fish,Migratory mesopelagic fish,10,FISH,Other,Benthivore
NSH,69,Northern_Shrimp,Northern shrimp other pandalids,2,PWN,Shrimp,Shrimp
POR,46,Porbeagle_Shark,Porbeagle shark,10,SHARK,Other,Apex_Predator
REP,53,Turtle,Marine turtles,10,FISH,Other,Other
SAL,32,Atlantic_Salmon,Atlantic salmon,10,FISH,Other,Piscivore
SB,51,Seabird,Seabirds,10,BIRD,Other,Apex_Predator
SDF,37,Atlantic_States_Demersals,Atlantic states demersal fish,10,FISH,Other,Benthivore
