"spp","age.mat"
"MAK","2"
"HER","1"
"WHK","3"
"BLF","1"
"WPF","3"
"SUF","3"
"WIF","3"
"WTF","3"
"HAL","3"
"PLA","3"
"FOU","3"
"FLA","3"
"BFT","3"
"TUN","3"
"BIL","3"
"MPF","2"
"BUT","3"
"ANC","3"
"BPF","3"
"GOO","3"
"MEN","2"
"FDE","2"
"COD","2"
"SHK","3"
"OHK","1"
"POL","1"
"RHK","1"
"BSB","1"
"SCU","1"
"TYL","1"
"RED","1"
"OPT","1"
"SAL","1"
"DRM","1"
"STB","1"
"TAU","1"
"WOL","1"
"SDF","1"
"FDF","1"
"HAD","1"
"YTF","2"
"DOG","3"
"SMO","2"
"SSH","2"
"DSH","2"
"BLS","2"
"POR","2"
"PSH","2"
"WSK","2"
"LSK","2"
"SK","2"
"SB","1"
"PIN","3"
"REP","2"
"RWH","3"
"BWH","3"
"SWH","3"
"TWH","3"
"INV","1"
