"experiment.id","ID","run.id","scalar","target.species","OutputDir","sh.script"
"fscale3",1,"fscale3_1",1.05,"MAK","fscale3/fscale3_MAK_1_05/","/runAtlantis_fscale3_1.sh"
"fscale3",2,"fscale3_2",1.1,"MAK","fscale3/fscale3_MAK_1_1/","/runAtlantis_fscale3_2.sh"
"fscale3",3,"fscale3_3",1.25,"MAK","fscale3/fscale3_MAK_1_25/","/runAtlantis_fscale3_3.sh"
"fscale3",4,"fscale3_4",1.5,"MAK","fscale3/fscale3_MAK_1_5/","/runAtlantis_fscale3_4.sh"
"fscale3",5,"fscale3_5",1.75,"MAK","fscale3/fscale3_MAK_1_75/","/runAtlantis_fscale3_5.sh"
"fscale3",6,"fscale3_6",1.05,"HER","fscale3/fscale3_HER_1_05/","/runAtlantis_fscale3_6.sh"
"fscale3",7,"fscale3_7",1.1,"HER","fscale3/fscale3_HER_1_1/","/runAtlantis_fscale3_7.sh"
"fscale3",8,"fscale3_8",1.25,"HER","fscale3/fscale3_HER_1_25/","/runAtlantis_fscale3_8.sh"
"fscale3",9,"fscale3_9",1.5,"HER","fscale3/fscale3_HER_1_5/","/runAtlantis_fscale3_9.sh"
"fscale3",10,"fscale3_10",1.75,"HER","fscale3/fscale3_HER_1_75/","/runAtlantis_fscale3_10.sh"
"fscale3",11,"fscale3_11",1.05,"WHK","fscale3/fscale3_WHK_1_05/","/runAtlantis_fscale3_11.sh"
"fscale3",12,"fscale3_12",1.1,"WHK","fscale3/fscale3_WHK_1_1/","/runAtlantis_fscale3_12.sh"
"fscale3",13,"fscale3_13",1.25,"WHK","fscale3/fscale3_WHK_1_25/","/runAtlantis_fscale3_13.sh"
"fscale3",14,"fscale3_14",1.5,"WHK","fscale3/fscale3_WHK_1_5/","/runAtlantis_fscale3_14.sh"
"fscale3",15,"fscale3_15",1.75,"WHK","fscale3/fscale3_WHK_1_75/","/runAtlantis_fscale3_15.sh"
"fscale3",16,"fscale3_16",1.05,"BLF","fscale3/fscale3_BLF_1_05/","/runAtlantis_fscale3_16.sh"
"fscale3",17,"fscale3_17",1.1,"BLF","fscale3/fscale3_BLF_1_1/","/runAtlantis_fscale3_17.sh"
"fscale3",18,"fscale3_18",1.25,"BLF","fscale3/fscale3_BLF_1_25/","/runAtlantis_fscale3_18.sh"
"fscale3",19,"fscale3_19",1.5,"BLF","fscale3/fscale3_BLF_1_5/","/runAtlantis_fscale3_19.sh"
"fscale3",20,"fscale3_20",1.75,"BLF","fscale3/fscale3_BLF_1_75/","/runAtlantis_fscale3_20.sh"
"fscale3",21,"fscale3_21",1.05,"WPF","fscale3/fscale3_WPF_1_05/","/runAtlantis_fscale3_21.sh"
"fscale3",22,"fscale3_22",1.1,"WPF","fscale3/fscale3_WPF_1_1/","/runAtlantis_fscale3_22.sh"
"fscale3",23,"fscale3_23",1.25,"WPF","fscale3/fscale3_WPF_1_25/","/runAtlantis_fscale3_23.sh"
"fscale3",24,"fscale3_24",1.5,"WPF","fscale3/fscale3_WPF_1_5/","/runAtlantis_fscale3_24.sh"
"fscale3",25,"fscale3_25",1.75,"WPF","fscale3/fscale3_WPF_1_75/","/runAtlantis_fscale3_25.sh"
"fscale3",26,"fscale3_26",1.05,"SUF","fscale3/fscale3_SUF_1_05/","/runAtlantis_fscale3_26.sh"
"fscale3",27,"fscale3_27",1.1,"SUF","fscale3/fscale3_SUF_1_1/","/runAtlantis_fscale3_27.sh"
"fscale3",28,"fscale3_28",1.25,"SUF","fscale3/fscale3_SUF_1_25/","/runAtlantis_fscale3_28.sh"
"fscale3",29,"fscale3_29",1.5,"SUF","fscale3/fscale3_SUF_1_5/","/runAtlantis_fscale3_29.sh"
"fscale3",30,"fscale3_30",1.75,"SUF","fscale3/fscale3_SUF_1_75/","/runAtlantis_fscale3_30.sh"
"fscale3",31,"fscale3_31",1.05,"WIF","fscale3/fscale3_WIF_1_05/","/runAtlantis_fscale3_31.sh"
