"experiment.id","ID","run.id","scalar","target.species","OutputDir","sh.script"
"fspike2",1,"fspike2_1",1.05,"MAK","fspike2/fspike2_MAK_1_05/","/runAtlantis_fspike2_1.sh"
"fspike2",2,"fspike2_2",1.1,"MAK","fspike2/fspike2_MAK_1_1/","/runAtlantis_fspike2_2.sh"
"fspike2",3,"fspike2_3",1.25,"MAK","fspike2/fspike2_MAK_1_25/","/runAtlantis_fspike2_3.sh"
"fspike2",4,"fspike2_4",1.5,"MAK","fspike2/fspike2_MAK_1_5/","/runAtlantis_fspike2_4.sh"
"fspike2",5,"fspike2_5",1.75,"MAK","fspike2/fspike2_MAK_1_75/","/runAtlantis_fspike2_5.sh"
"fspike2",6,"fspike2_6",1.05,"HER","fspike2/fspike2_HER_1_05/","/runAtlantis_fspike2_6.sh"
"fspike2",7,"fspike2_7",1.1,"HER","fspike2/fspike2_HER_1_1/","/runAtlantis_fspike2_7.sh"
"fspike2",8,"fspike2_8",1.25,"HER","fspike2/fspike2_HER_1_25/","/runAtlantis_fspike2_8.sh"
"fspike2",9,"fspike2_9",1.5,"HER","fspike2/fspike2_HER_1_5/","/runAtlantis_fspike2_9.sh"
"fspike2",10,"fspike2_10",1.75,"HER","fspike2/fspike2_HER_1_75/","/runAtlantis_fspike2_10.sh"
"fspike2",11,"fspike2_11",1.05,"WHK","fspike2/fspike2_WHK_1_05/","/runAtlantis_fspike2_11.sh"
"fspike2",12,"fspike2_12",1.1,"WHK","fspike2/fspike2_WHK_1_1/","/runAtlantis_fspike2_12.sh"
"fspike2",13,"fspike2_13",1.25,"WHK","fspike2/fspike2_WHK_1_25/","/runAtlantis_fspike2_13.sh"
"fspike2",14,"fspike2_14",1.5,"WHK","fspike2/fspike2_WHK_1_5/","/runAtlantis_fspike2_14.sh"
"fspike2",15,"fspike2_15",1.75,"WHK","fspike2/fspike2_WHK_1_75/","/runAtlantis_fspike2_15.sh"
"fspike2",16,"fspike2_16",1.05,"BLF","fspike2/fspike2_BLF_1_05/","/runAtlantis_fspike2_16.sh"
"fspike2",17,"fspike2_17",1.1,"BLF","fspike2/fspike2_BLF_1_1/","/runAtlantis_fspike2_17.sh"
"fspike2",18,"fspike2_18",1.25,"BLF","fspike2/fspike2_BLF_1_25/","/runAtlantis_fspike2_18.sh"
"fspike2",19,"fspike2_19",1.5,"BLF","fspike2/fspike2_BLF_1_5/","/runAtlantis_fspike2_19.sh"
"fspike2",20,"fspike2_20",1.75,"BLF","fspike2/fspike2_BLF_1_75/","/runAtlantis_fspike2_20.sh"
"fspike2",21,"fspike2_21",1.05,"WPF","fspike2/fspike2_WPF_1_05/","/runAtlantis_fspike2_21.sh"
"fspike2",22,"fspike2_22",1.1,"WPF","fspike2/fspike2_WPF_1_1/","/runAtlantis_fspike2_22.sh"
"fspike2",23,"fspike2_23",1.25,"WPF","fspike2/fspike2_WPF_1_25/","/runAtlantis_fspike2_23.sh"
"fspike2",24,"fspike2_24",1.5,"WPF","fspike2/fspike2_WPF_1_5/","/runAtlantis_fspike2_24.sh"
"fspike2",25,"fspike2_25",1.75,"WPF","fspike2/fspike2_WPF_1_75/","/runAtlantis_fspike2_25.sh"
"fspike2",26,"fspike2_26",1.05,"SUF","fspike2/fspike2_SUF_1_05/","/runAtlantis_fspike2_26.sh"
"fspike2",27,"fspike2_27",1.1,"SUF","fspike2/fspike2_SUF_1_1/","/runAtlantis_fspike2_27.sh"
"fspike2",28,"fspike2_28",1.25,"SUF","fspike2/fspike2_SUF_1_25/","/runAtlantis_fspike2_28.sh"
"fspike2",29,"fspike2_29",1.5,"SUF","fspike2/fspike2_SUF_1_5/","/runAtlantis_fspike2_29.sh"
"fspike2",30,"fspike2_30",1.75,"SUF","fspike2/fspike2_SUF_1_75/","/runAtlantis_fspike2_30.sh"
"fspike2",31,"fspike2_31",1.05,"WIF","fspike2/fspike2_WIF_1_05/","/runAtlantis_fspike2_31.sh"
"fspike2",32,"fspike2_32",1.1,"WIF","fspike2/fspike2_WIF_1_1/","/runAtlantis_fspike2_32.sh"
"fspike2",33,"fspike2_33",1.25,"WIF","fspike2/fspike2_WIF_1_25/","/runAtlantis_fspike2_33.sh"
"fspike2",34,"fspike2_34",1.5,"WIF","fspike2/fspike2_WIF_1_5/","/runAtlantis_fspike2_34.sh"
"fspike2",35,"fspike2_35",1.75,"WIF","fspike2/fspike2_WIF_1_75/","/runAtlantis_fspike2_35.sh"
"fspike2",36,"fspike2_36",1.05,"WTF","fspike2/fspike2_WTF_1_05/","/runAtlantis_fspike2_36.sh"
"fspike2",37,"fspike2_37",1.1,"WTF","fspike2/fspike2_WTF_1_1/","/runAtlantis_fspike2_37.sh"
"fspike2",38,"fspike2_38",1.25,"WTF","fspike2/fspike2_WTF_1_25/","/runAtlantis_fspike2_38.sh"
"fspike2",39,"fspike2_39",1.5,"WTF","fspike2/fspike2_WTF_1_5/","/runAtlantis_fspike2_39.sh"
"fspike2",40,"fspike2_40",1.75,"WTF","fspike2/fspike2_WTF_1_75/","/runAtlantis_fspike2_40.sh"
"fspike2",41,"fspike2_41",1.05,"HAL","fspike2/fspike2_HAL_1_05/","/runAtlantis_fspike2_41.sh"
"fspike2",42,"fspike2_42",1.1,"HAL","fspike2/fspike2_HAL_1_1/","/runAtlantis_fspike2_42.sh"
"fspike2",43,"fspike2_43",1.25,"HAL","fspike2/fspike2_HAL_1_25/","/runAtlantis_fspike2_43.sh"
"fspike2",44,"fspike2_44",1.5,"HAL","fspike2/fspike2_HAL_1_5/","/runAtlantis_fspike2_44.sh"
"fspike2",45,"fspike2_45",1.75,"HAL","fspike2/fspike2_HAL_1_75/","/runAtlantis_fspike2_45.sh"
"fspike2",46,"fspike2_46",1.05,"PLA","fspike2/fspike2_PLA_1_05/","/runAtlantis_fspike2_46.sh"
"fspike2",47,"fspike2_47",1.1,"PLA","fspike2/fspike2_PLA_1_1/","/runAtlantis_fspike2_47.sh"
"fspike2",48,"fspike2_48",1.25,"PLA","fspike2/fspike2_PLA_1_25/","/runAtlantis_fspike2_48.sh"
"fspike2",49,"fspike2_49",1.5,"PLA","fspike2/fspike2_PLA_1_5/","/runAtlantis_fspike2_49.sh"
"fspike2",50,"fspike2_50",1.75,"PLA","fspike2/fspike2_PLA_1_75/","/runAtlantis_fspike2_50.sh"
"fspike2",51,"fspike2_51",1.05,"BFT","fspike2/fspike2_BFT_1_05/","/runAtlantis_fspike2_51.sh"
"fspike2",52,"fspike2_52",1.1,"BFT","fspike2/fspike2_BFT_1_1/","/runAtlantis_fspike2_52.sh"
